"experiment","tau_m","tau_c","step","source","n","accuracy","skipped","con_precision","con_recall","con_f1","con_support","ent_precision","ent_recall","ent_f1","ent_support","neu_precision","neu_recall","neu_f1","neu_support"
"exp1","0.5","80","","data/rte_pairs_exp1_exp2.csv","417","0.41007194244604317","202","0.432","0.39416058394160586","0.4122137404580153","137.0","0.37962962962962965","0.5857142857142857","0.46067415730337086","140.0","0.4605263157894737","0.25","0.32407407407407407","140.0"
"exp1","0.5","90","","data/rte_pairs_exp1_exp2.csv","420","0.3904761904761905","145","0.3879310344827586","0.32142857142857145","0.3515625","140.0","0.36771300448430494","0.5857142857142857","0.4517906336088154","140.0","0.4567901234567901","0.2642857142857143","0.334841628959276","140.0"
"exp1","0.5","100","","data/rte_pairs_exp1_exp2.csv","420","0.3738095238095238","17","0.34408602150537637","0.22857142857142856","0.27467811158798283","140.0","0.3677685950413223","0.6357142857142857","0.46596858638743455","140.0","0.4235294117647059","0.2571428571428571","0.31999999999999995","140.0"
"exp1","0.55","80","","data/rte_pairs_exp1_exp2.csv","420","0.4261904761904762","187","0.4608695652173913","0.37857142857142856","0.41568627450980394","140.0","0.40106951871657753","0.5357142857142857","0.4587155963302752","140.0","0.4322033898305085","0.36428571428571427","0.3953488372093023","140.0"
"exp1","0.55","90","","data/rte_pairs_exp1_exp2.csv","420","0.4119047619047619","128","0.4368932038834951","0.32142857142857145","0.37037037037037035","140.0","0.3917525773195876","0.5428571428571428","0.4550898203592814","140.0","0.42276422764227645","0.37142857142857144","0.3954372623574144","140.0"
"exp1","0.55","100","","data/rte_pairs_exp1_exp2.csv","420","0.3904761904761905","13","0.379746835443038","0.21428571428571427","0.273972602739726","140.0","0.39215686274509803","0.5714285714285714","0.46511627906976744","140.0","0.39416058394160586","0.38571428571428573","0.38989169675090257","140.0"
"exp1","0.6","80","","data/rte_pairs_exp1_exp2.csv","420","0.42142857142857143","139","0.4782608695652174","0.3142857142857143","0.3793103448275862","140.0","0.42857142857142855","0.32142857142857145","0.3673469387755102","140.0","0.39461883408071746","0.6285714285714286","0.4848484848484848","140.0"
"exp1","0.6","90","","data/rte_pairs_exp1_exp2.csv","420","0.4166666666666667","101","0.4675324675324675","0.2571428571428571","0.3317972350230415","140.0","0.41964285714285715","0.3357142857142857","0.373015873015873","140.0","0.39826839826839827","0.6571428571428571","0.4959568733153639","140.0"
"exp1","0.6","100","","data/rte_pairs_exp1_exp2.csv","420","0.4095238095238095","8","0.43137254901960786","0.15714285714285714","0.23036649214659688","140.0","0.47572815533980584","0.35","0.40329218106995884","140.0","0.37969924812030076","0.7214285714285714","0.49753694581280783","140.0"
"exp1","0.65","80","","data/rte_pairs_exp1_exp2.csv","420","0.37142857142857144","73","0.4444444444444444","0.17142857142857143","0.2474226804123711","140.0","0.4166666666666667","0.07142857142857142","0.1219512195121951","140.0","0.3567251461988304","0.8714285714285714","0.5062240663900415","140.0"
"exp1","0.65","90","","data/rte_pairs_exp1_exp2.csv","420","0.36666666666666664","52","0.40425531914893614","0.1357142857142857","0.2032085561497326","140.0","0.4074074074074074","0.07857142857142857","0.1317365269461078","140.0","0.3583815028901734","0.8857142857142857","0.5102880658436214","140.0"
"exp1","0.65","100","","data/rte_pairs_exp1_exp2.csv","420","0.3619047619047619","3","0.4","0.05714285714285714","0.09999999999999999","140.0","0.5","0.09285714285714286","0.1566265060240964","140.0","0.3502673796791444","0.9357142857142857","0.5097276264591439","140.0"
"exp1","0.7","80","","data/rte_pairs_exp1_exp2.csv","420","0.37857142857142856","41","0.5263157894736842","0.14285714285714285","0.2247191011235955","140.0","0.5384615384615384","0.05","0.09150326797385622","140.0","0.35772357723577236","0.9428571428571428","0.518664047151277","140.0"
